Date,Astral,JindalSteels,Jublinds,Voltas,Jubilant,Havells,Reliance,BombayDyeing,Berger Paints,Manappuram
01-Mar-18,716.559998,219.300003,168,620.599976,839.799988,487.75,882.799988,239.350006,256.450012,109.25
01-Apr-18,761.359985,251.5,167.300003,643.599976,880.700012,546.799988,963.099976,310.350006,286.200012,122.199997
01-May-18,822.799988,229.5,158.600006,540.200012,787.400024,545.549988,921.299988,241,297.75,107.75
01-Jun-18,807.119995,223.050003,140.5,521.650024,698.150024,542.900024,972.950012,220.350006,281.25,98.599998
01-Jul-18,893.919983,205,136.399994,568.200012,737.200012,634.25,1185.849976,260.600006,315.149994,105.199997
01-Aug-18,889.76001,220.949997,138.449997,616.599976,723.200012,723.849976,1240.949951,270.399994,334.5,100.099998
01-Sep-18,785.840027,196.149994,107.099998,529.150024,731.099976,594.099976,1258.199951,168.100006,292.850006,72.400002
01-Oct-18,780.039978,171.399994,104.25,538.049988,661.5,642.400024,1061.400024,104.550003,280.049988,79.699997
01-Nov-18,835.559998,153.899994,97.349998,553.799988,768.700012,684.599976,1168.199951,99.300003,319.5,85.75
01-Dec-18,905.880005,164.75,99.849998,552.450012,709.650024,692.299988,1121.050049,113.800003,330.649994,92.849998
