Date,HDFCBANK.NS,TATAMOTORS.NS,ADANIENT.NS,VOLTAS.NS,BAJAJFINSV.NS,HAVELLS.NS,RELIANCE.NS,BERGEPAINT.NS,ASIANPAINT.NS,MUTHOOTFIN.NS
01-01-2014,317.7838745,369.2428589,38.0278244,110.7023544,755.9492188,146.2083435,417.2254028,77.01600647,474.7211304,91.28120422
02-01-2014,313.8901062,366.6824036,36.13174057,109.2939224,724.3726196,147.858139,410.747345,76.35253143,461.2323303,91.99630737
03-01-2014,316.8044434,357.1792908,35.1412468,107.5568542,725.3175049,150.2453156,405.7010193,76.420578,464.9844971,91.82804871
06-01-2014,316.1356201,361.3645935,35.66479111,113.7069931,727.7044067,153.0472717,401.3353577,75.89318085,466.0768738,90.27163696
07-01-2014,317.4255981,359.5427551,34.23564911,113.4253006,727.0579834,153.5910645,395.3032532,75.48487854,465.4119873,90.35575867
08-01-2014,317.5689087,364.6143799,33.98095703,109.6225433,734.2683716,154.3468628,398.5657959,75.77410126,465.9344482,90.39781952
09-01-2014,316.7328186,362.3493958,34.74504852,105.2564316,728.2017212,151.1117249,399.3403015,73.5454483,465.5545044,108.4437408
10-01-2014,316.3027649,361.4138489,34.09415436,100.7494736,727.5552368,149.2222443,402.8375244,71.62301636,467.3592529,116.8147125
13-01-2014,321.462616,370.4245605,33.29468155,98.49598694,715.6207275,147.9963989,413.2822571,71.11264038,469.3066101,116.8147125
14-01-2014,321.1998596,366.1407776,34.56109619,98.44902039,717.6098633,146.0700531,413.7986145,70.41513824,462.9896851,114.9217682
15-01-2014,325.1414185,371.5570679,35.25444412,102.2517853,719.8475342,143.1298523,415.652832,70.58526611,468.7841797,116.2257767
16-01-2014,321.5581665,364.1219788,35.18369293,99.57578278,710.1011353,145.1668091,415.9814453,73.29026794,470.7790222,111.5144882
17-01-2014,317.7122192,364.0727539,33.93850327,97.18144226,688.2212524,144.1897888,415.3242493,73.27323151,466.9318237,106.5087585
20-01-2014,320.124939,369.1936035,34.90776825,102.1578827,680.5134888,149.9134827,408.2828369,75.72304535,465.4594421,107.7707214
21-01-2014,323.0153503,378.9429016,34.95022964,100.702507,677.5796509,148.0332642,405.1377258,76.30147552,455.2478638,112.1454773
22-01-2014,323.4931641,380.2230835,34.80164719,100.655571,699.2605591,144.0515594,409.550293,73.8006134,448.9309082,110.6732025
23-01-2014,324.639801,377.7611694,36.41473389,101.9700928,682.999939,143.1298523,406.4286194,73.27323151,449.3108521,109.3691788
24-01-2014,321.7254333,364.762085,35.34641647,98.07344055,682.8009644,139.8209381,407.2970886,73.81764221,454.155426,110.7152786
27-01-2014,310.1635742,342.9492493,33.54230499,93.56649017,673.5020752,133.6917114,395.7961731,71.62301636,452.5406189,105.6253891
28-01-2014,307.8942261,350.8274536,33.94557571,94.787117,675.2921753,137.3508453,396.5941162,71.18068695,452.9205627,108.6961288
29-01-2014,308.3719482,346.3959656,36.00439453,93.05007172,677.5298462,141.904007,392.7213745,70.77237701,458.7150879,106.1722336
30-01-2014,301.8504639,356.2437439,33.96680832,99.85746002,674.1982422,142.0146179,387.276062,69.13918304,453.5855408,102.8911591
31-01-2014,300.2738647,344.2294312,33.7970047,99.62272644,676.4359131,143.5446167,390.1630859,69.17320251,448.0759583,106.9714661
03-02-2014,299.3183289,331.2796326,33.25223541,99.81050873,660.8713379,142.6321259,385.3514404,70.38110352,446.3661194,107.2238541
04-02-2014,301.2771606,340.5857849,32.7286911,101.5945129,683.7457886,141.6459045,385.6565247,69.00307465,452.160553,110.3435745
05-02-2014,304.5498962,349.6949463,32.59427261,107.8385391,680.612915,143.5077362,383.6380615,71.31679535,460.1873779,114.2324982
06-02-2014,309.1124573,352.2061462,32.02119446,109.3878174,678.1266479,144.9732056,382.9808044,71.69106293,459.8074646,112.9504395
07-02-2014,309.4707947,354.7173462,31.93629646,111.5004425,682.9501953,144.3280334,382.3236389,71.50393677,465.9344482,118.206955
10-02-2014,307.6314392,358.5087585,31.3703022,113.9417267,676.9828491,142.0699158,385.8443298,71.46989441,462.6097412,124.360878
11-02-2014,308.0613708,368.7996826,31.26417732,111.8290863,677.8282471,144.4109955,378.0049438,71.62301636,460.0924377,136.9678955
12-02-2014,308.3719482,370.9169617,31.12975502,117.0402679,697.2714233,144.6506195,383.9431152,71.04458618,453.4429932,149.7886047
13-02-2014,302.184906,370.2276306,30.81138039,111.171814,678.9720459,141.3141174,379.0141907,70.1259079,445.3212891,137.3097992
14-02-2014,306.6281128,382.882019,30.45055962,111.5943527,678.5741577,141.9592896,385.8912354,71.40184784,449.1209106,141.6688538
17-02-2014,310.7368469,380.7155151,31.15097618,113.8478241,687.4752808,140.5583496,381.3143311,70.36408997,449.5483704,137.0106506
18-02-2014,315.5145264,385.4424438,32.22636414,114.8806763,699.5092163,139.1481476,381.7133484,70.10889435,449.4059143,137.2670746
19-02-2014,320.124939,385.5409241,34.53279877,115.0684662,702.5922852,141.2035065,381.2908936,70.50019836,445.0362549,137.6516876
20-02-2014,316.6372681,385.8855896,34.69551849,113.1436234,698.5643921,142.1620941,378.0987854,69.83670044,438.481781,133.2071686
21-02-2014,317.4255981,390.1693726,35.31811905,116.1952057,697.5699463,142.1067352,380.9388428,72.79689026,440.7615967,132.1387634
24-02-2014,320.5787964,390.5140381,35.32519531,120.8430176,707.2169189,140.1712036,381.3378296,71.89522552,447.2210388,140.6004333
25-02-2014,320.6265259,392.4343872,35.28274536,120.1857605,713.7808838,143.3049622,380.4928894,71.46989441,448.4084167,142.0961609
26-02-2014,323.6364746,395.0932617,35.13416672,123.7537689,717.1623535,141.4339294,380.5632629,71.52094269,453.2530212,139.7457123
28-02-2014,319.9099121,410.6035767,35.97609329,125.2560883,718.1568604,141.7196655,375.5169373,72.13339996,449.3108521,141.2842102
03-03-2014,318.2855225,404.4487,37.34155273,126.9931488,711.3939209,140.7703247,377.1364441,70.33006287,449.2633362,139.6175385
04-03-2014,320.9132385,406.6151733,37.87924957,132.3451691,724.5715332,141.8210297,381.6194763,71.11264038,451.7807007,139.1046906
05-03-2014,319.9815979,403.3654175,37.91461563,130.4672852,713.5321655,142.3279572,378.826416,70.84041595,450.8307495,143.5491943
06-03-2014,322.7764587,402.2329102,38.82021713,136.805191,720.8917847,148.4296112,386.0790405,70.9595108,450.7832031,141.4551392
07-03-2014,339.9042969,402.8730164,42.88830566,135.3967743,716.5655518,149.8490143,408.1185608,71.45288849,456.9101868,139.831192
10-03-2014,350.8928833,389.9724426,44.81977081,134.5047607,721.6875,154.3560944,415.652832,72.08236694,460.5673828,146.5834198
11-03-2014,346.4496155,391.8927612,45.03909302,133.6597137,707.0179443,152.9919739,410.6299744,71.70808411,456.6252136,145.0449524
12-03-2014,346.6407471,382.9312439,44.33867645,132.3921204,707.1671143,156.7801361,409.0339661,71.31678772,469.5441284,144.7885284
13-03-2014,354.6671753,382.0942078,43.72315216,129.0118713,710.1011353,155.9414063,412.8832397,71.01056671,469.0216675,144.1902313
14-03-2014,349.7939758,387.2642822,45.31501007,133.2371674,694.9840088,154.9459686,415.9814453,71.12966156,470.6839905,141.8825226
18-03-2014,350.6779175,375.4469299,45.70413971,135.960144,705.7249756,158.8908234,420.8165588,71.86119843,476.4785156,133.549057
19-03-2014,352.8039246,378.4997253,45.85270691,139.8098297,703.9349976,161.9408722,423.8912354,71.29976654,487.3551025,135.1302795
20-03-2014,348.8623352,373.9205322,44.48017502,140.2793121,705.7748413,157.7875977,425.2995605,70.84041595,489.7773132,133.9764099
21-03-2014,350.6061707,383.2266541,46.13570404,142.3919678,711.1453247,160.2721558,415.8171387,71.929245,484.5527649,134.0618744
22-03-2014,350.6061707,383.2266541,46.13570404,142.3919678,711.1453247,160.2721558,415.8171387,71.929245,484.5527649,134.0618744
24-03-2014,358.6325989,385.5409241,45.98006058,143.8942719,711.2945557,166.5113373,425.0179138,72.72885132,497.6617126,143.250061
25-03-2014,358.3937378,384.9008179,46.80782318,147.8378601,711.3441162,169.5706787,412.7658997,75.74007416,498.9915466,145.087677
26-03-2014,356.4348755,395.536438,46.53897858,149.4810333,723.5771484,168.1244507,418.3520508,76.53967285,502.6012573,142.5235443
27-03-2014,356.7692871,390.6617432,46.82905197,145.6782837,738.4951782,166.5298767,422.835083,76.13134766,512.0529175,144.4893951
28-03-2014,355.9093323,391.2526245,50.34529877,151.9692535,762.1154175,168.6158142,430.064209,76.74380493,512.8128052,144.2757111
31-03-2014,357.7487183,392.5820923,52.07158279,151.07724,783.7467651,173.158432,436.9177856,78.20690155,520.5072021,147.010788
01-04-2014,352.6366882,397.0136108,49.90665817,148.8237457,777.2324829,169.4872437,442.4805298,78.25793457,509.7730713,144.9167633
02-04-2014,349.67453,407.796936,50.72734451,153.0960083,784.0947876,167.0119476,449.8035583,77.54340363,496.6167908,145.8141937
03-04-2014,348.1934814,405.0887756,49.75807953,152.250946,776.4368896,167.0119476,447.1982727,79.70400238,511.6254578,141.9679718
04-04-2014,346.5929565,399.3278503,52.53852844,150.9833527,778.3761597,165.5471802,443.2550354,79.32971954,504.1211853,140.1303253
07-04-2014,346.5451355,397.8506775,53.60684967,149.0585022,766.2926025,164.7684326,443.2081299,78.5811615,512.527832,139.7029877
09-04-2014,354.4282837,414.4934387,54.10209274,153.5185242,781.0614624,167.3457031,451.6577759,79.39778137,520.2696533,137.6516876
10-04-2014,353.2577515,424.2427368,66.48323822,156.8517761,779.1220703,170.238205,454.8967896,78.90440369,514.380249,142.4380646
11-04-2014,352.660553,417.1523132,61.93405533,156.3354034,775.7405396,170.5162811,447.7145996,79.66997528,516.4700317,140.472229
15-04-2014,345.8763123,405.6796265,59.08993149,153.8940887,766.4416504,173.102829,445.5317993,79.97618866,507.7307434,140.8568573
16-04-2014,346.8318176,404.8918457,60.91526413,147.7908936,775.6411743,171.9810486,441.8702393,81.09902954,508.1107483,145.7714539
17-04-2014,343.368103,422.5686035,62.02602768,156.99263,779.3707275,172.8803101,450.2260742,83.54885101,516.5175781,152.3099976
21-04-2014,342.2930908,425.5229492,62.69815063,161.8282318,788.7193604,170.9241943,450.4607544,82.81730652,512.1954346,149.6176758
22-04-2014,347.5962524,422.2731934,62.30195236,162.7671967,793.3937988,172.8896027,454.2865601,83.39573669,509.5357056,149.5749359
23-04-2014,350.2000427,418.5802612,61.09921265,159.5278015,795.3330688,170.2103271,454.0049133,83.48078156,503.0761719,144.4893951
24-04-2014,350.2000427,418.5802612,61.09921265,159.5278015,795.3330688,170.2103271,454.0049133,83.48078156,503.0761719,144.4893951
25-04-2014,347.0468445,416.8076477,61.19826508,157.7438049,811.742981,170.5070343,445.1327515,83.49781036,489.1598816,147.7372894
28-04-2014,346.4735107,410.111145,60.5685997,154.1287994,826.5119019,176.560791,443.6071472,82.6982193,475.4811096,148.8911743
29-04-2014,341.9825439,402.7253113,61.36806488,147.7908936,825.0697632,174.3543549,441.4008179,82.10276794,472.678833,149.959549
30-04-2014,344.6102295,408.4370117,59.12530136,146.8050232,827.605835,172.6949158,439.2884216,82.74924469,479.850708,153.2929535
02-05-2014,342.6035767,408.4370117,59.53565216,147.3214569,810.7484741,170.9705658,435.6737976,82.49407959,485.8351746,157.0109253
05-05-2014,342.4125366,408.1416016,60.31389618,145.8191376,806.7702026,169.7282867,444.4755859,81.32019806,492.6270752,154.0621643
06-05-2014,344.0846863,412.77005,61.19826508,145.0210266,819.3014526,168.3932953,452.2210999,82.52809143,488.9699402,153.9339752
07-05-2014,341.8869934,410.3573303,60.48368835,146.3355255,816.3674927,167.6701813,451.0475464,82.32393646,480.3256531,155.3015289
08-05-2014,343.1769409,416.6107178,59.832798,145.9129944,828.4512329,168.4674225,450.7893066,81.86460876,479.1382446,156.7972717
09-05-2014,361.5708008,420.9929504,61.14873886,155.3025513,833.4736938,172.2870026,468.2988892,82.01770782,495.0493469,156.070755
12-05-2014,378.4597473,438.4235535,60.86574173,159.9033813,834.8660278,175.6430206,482.8980713,81.18409729,511.2454834,160.8144379
13-05-2014,376.5487061,434.2382507,67.70721436,165.7248993,843.4190674,177.0521545,499.1870728,81.32019806,513.2877197,165.2589417
14-05-2014,370.4810791,435.6169128,70.48765564,167.0863495,835.2637329,178.461319,490.7843628,82.35796356,529.0089722,163.4212952
15-05-2014,376.6442261,432.9580078,70.82727051,164.9737396,814.4282227,176.0230713,494.4928589,82.49407959,502.5536499,162.35289
16-05-2014,384.455658,443.0027771,74.95195007,167.4150085,817.163208,174.3543549,511.2380371,80.74176788,509.6306152,164.6606445
19-05-2014,387.8955688,437.6357117,76.48014069,193.2831116,869.0283813,179.9538879,530.5649414,79.99320221,501.033783,173.2505035
20-05-2014,389.8782654,433.1549683,75.44012451,184.6917114,870.1224976,178.7116241,511.5222168,81.20109558,502.4112854,166.9256592
21-05-2014,386.7489014,430.2991333,72.92851257,176.7575531,875.6918335,178.2944336,510.8353577,83.75299072,518.9398193,174.8744965
22-05-2014,383.4523926,424.2427368,70.99705505,176.7575531,883.1011353,175.8098602,521.4463501,85.87957764,510.8654175,180.4301147
23-05-2014,377.2653503,424.7351074,71.90265656,177.4148254,885.09021,173.5014648,534.0703125,84.05921173,513.4777832,179.0198364
26-05-2014,380.8485413,437.2910767,69.18586731,168.0253143,886.2338867,173.6312561,521.8725586,82.80027771,497.3766174,167.7376099
27-05-2014,384.551239,429.9544678,67.14829254,162.2507477,902.1465454,178.9248352,515.3591919,82.17082977,497.5190735,164.8315887
28-05-2014,393.4137573,422.2239685,67.40298462,166.7577515,898.8149414,174.5119629,515.8093262,82.34095001,484.6477661,176.8403168
29-05-2014,387.1072388,417.8416443,63.92918777,168.9173279,881.0623779,176.403183,508.5379944,82.52809143,480.9906311,169.8744049
30-05-2014,378.7463989,408.7324829,67.76381683,175.3021698,847.3474121,179.9261017,504.3457947,84.21234131,482.1779785,167.0110779
02-06-2014,391.4787598,414.3457031,68.06095886,181.734024,874.2000122,182.2622833,512.6355591,83.39573669,484.3153381,170.8572998
03-06-2014,393.843689,414.4934387,68.28736115,187.7433167,873.7525024,195.8346405,518.8883667,82.47704315,483.6029663,174.7462616
04-06-2014,390.1888428,415.6259155,70.40277863,193.0483551,911.8433228,197.9390717,510.4090881,82.59614563,483.507843,170.9855042
05-06-2014,388.0688782,428.3788147,70.48766327,202.5317993,938.3478394,219.3266296,516.2828979,83.6679306,484.5527649,174.8317413
06-06-2014,392.7905273,432.4163818,71.57013702,204.6913605,939.6408081,216.9347687,531.6782227,86.91733551,480.0407104,170.8145752
09-06-2014,394.8141174,441.7717896,71.62671661,205.8181152,916.96521,213.1430511,531.7965088,91.8509903,501.6513977,166.7119446
10-06-2014,393.4651184,446.4987183,70.16929626,208.6819,926.6620483,209.1937256,529.7360229,91.88500977,509.3931885,162.2674103
11-06-2014,395.3200073,438.9651794,68.98777771,208.2593842,920.296936,217.583725,522.0620728,93.26303864,516.4224243,159.2332001
12-06-2014,404.6428833,442.7073364,69.22125244,209.3861084,920.4958496,217.6300812,518.2961426,92.46343231,521.7894897,169.4470215
13-06-2014,402.4989319,431.5793152,66.49031067,206.8040009,910.3018188,211.6133881,512.4934082,89.14598083,515.045105,163.9768677
16-06-2014,404.2333984,424.2919617,67.15536499,212.1560516,912.7880859,213.9032288,504.7010498,87.12149048,516.8161621,163.9341278
17-06-2014,407.8710022,434.1889954,68.34395599,213.8930969,911.2466431,214.8952026,516.3540039,91.68087006,536.6809082,163.5495148
18-06-2014,402.2338867,426.5569763,67.92653656,213.7991791,923.7280884,211.1869354,505.316864,92.22528076,534.0960693,162.609314
19-06-2014,397.8495178,431.9239807,65.18145752,204.8321991,937.005249,207.2097626,493.6402283,94.74311829,543.7651978,162.9939423
20-06-2014,396.0186157,431.3823853,63.54006958,202.0153351,924.8718262,204.4749146,490.9874573,92.73564148,544.1958618,160.8144379
23-06-2014,395.7777405,428.9696655,64.24047852,200.4191437,924.7723999,204.0391998,491.6743164,95.04936218,549.6049194,159.489624
24-06-2014,399.4153442,435.4199829,65.71915436,211.5926666,924.8718262,207.3488464,502.0483704,93.29706573,555.1572876,160.8144379
25-06-2014,397.0545044,436.5032043,65.4573822,207.5082245,926.0653076,206.8945923,497.8561096,93.12693787,561.4758301,160.6862183
26-06-2014,391.41745,431.3331299,63.70985794,202.2970581,899.5111084,206.2958984,479.3345642,94.43690491,559.8482056,159.2332001
27-06-2014,393.248291,425.7691345,61.91282272,205.5364075,920.6947021,219.6541901,479.4292603,96.66556549,559.7525635,159.0622559
30-06-2014,395.8258667,424.7351074,64.38906097,204.7383118,929.6456299,219.3641968,480.9924927,98.74108887,568.6557617,160.9426422
01-07-2014,396.6690369,443.9382935,64.89136505,205.3016663,947.3981323,219.1864777,477.4871216,100.4593658,558.9388428,161.5836639
02-07-2014,404.6669922,448.8622131,69.7164917,208.7758179,953.4648438,222.0209045,482.3425598,97.82241821,559.130188,161.1990509
03-07-2014,403.1734009,462.599884,70.10562134,204.4566193,947.1378784,223.2463531,476.7765808,96.86971283,556.8806152,161.7546082
