Date,ASTRAL.BO,JINDALSTEL.BO,JUBLINDS.BO,VOLTAS.BO,JUBLINDS.BO,HAVELLS.BO,RELIANCE.BO,BOMDYEING.BO,BERGEPAINT.BO,MANAPPURAM.BO
2013-12-31,131.26512145996094,255.6214599609375,61.54999923706055,114.83268737792969,61.54999923706055,153.42117309570312,399.25384521484375,63.2859992980957,75.68777465820312,11.528690338134766
2014-01-07,125.76097106933594,252.5369110107422,59.95000076293945,100.03244018554688,59.95000076293945,146.50904846191406,417.7196350097656,62.81859588623047,70.56707000732422,15.119596481323242
2014-01-14,128.6024627685547,259.90008544921875,58.5,102.17395782470703,58.5,148.1126708984375,409.63641357421875,59.17287063598633,76.09608459472656,15.64877986907959
2014-01-21,123.89314270019531,257.3627624511719,58.849998474121094,96.03495788574219,58.849998474121094,137.32058715820312,400.9842834472656,52.81623458862305,71.196533203125,15.195196151733398
2014-01-28,138.10064697265625,241.09413146972656,50.0,102.93538665771484,50.0,141.440185546875,389.7009582519531,51.92817687988281,69.0870132446289,14.855002403259277
2014-02-04,155.32839965820312,240.09910583496094,51.0,113.357421875,51.0,144.2879638671875,381.8785400390625,54.17169189453125,71.46873474121094,17.992319107055664
2014-02-11,155.80535888671875,251.19361877441406,49.900001525878906,116.49829864501953,49.900001525878906,139.50479125976562,385.315673828125,48.70310974121094,70.29487609863281,17.085140228271484
2014-02-18,155.20919799804688,240.59661865234375,48.150001525878906,121.78070068359375,48.150001525878906,143.33872985839844,384.2015686035156,47.908531188964844,71.31562805175781,17.5335750579834
2014-02-25,150.53961181640625,246.76576232910156,48.70000076293945,133.77317810058594,48.70000076293945,141.91943359375,386.19268798828125,46.59981155395508,71.07744598388672,17.340900421142578
2014-03-04,160.91207885742188,253.28317260742188,53.95000076293945,135.4864044189453,53.95000076293945,152.84979248046875,414.8039855957031,50.33900833129883,71.51976013183594,17.379436492919922
2014-03-11,162.1241455078125,259.402587890625,51.599998474121094,137.72308349609375,51.599998474121094,159.19049072265625,424.47540283203125,50.75967025756836,71.82597351074219,16.68579864501953
2014-03-18,191.65182495117188,268.15875244140625,49.20000076293945,150.28660583496094,49.20000076293945,167.89971923828125,416.55810546875,49.170509338378906,75.63674926757812,16.724336624145508
2014-03-25,184.7965545654297,293.7806091308594,52.0,150.85769653320312,52.0,169.40579223632812,446.1886291503906,52.2553596496582,78.30767822265625,16.49312400817871
2014-04-01,195.7650604248047,279.9995422363281,55.75,151.14321899414062,55.75,164.81727600097656,447.56353759765625,59.640281677246094,78.93714141845703,16.338985443115234
2014-04-08,193.99658203125,267.5119934082031,62.95000076293945,156.0448760986328,62.95000076293945,172.42774963378906,449.6732177734375,58.47178268432617,79.83879852294922,17.225292205810547
2014-04-15,198.66619873046875,274.4273986816406,82.3499984741211,164.896484375,82.3499984741211,172.90054321289062,459.0838317871094,63.00556182861328,83.10516357421875,17.49504280090332
2014-04-22,218.63613891601562,251.93988037109375,85.0,149.95347595214844,85.0,174.76377868652344,445.78570556640625,58.65874099731445,81.9312973022461,17.225292205810547
2014-04-29,222.7692108154297,242.586669921875,86.6500015258789,146.95538330078125,86.6500015258789,168.59005737304688,456.6660461425781,53.61081314086914,82.6117935180664,17.032615661621094
2014-05-06,215.6555633544922,244.82546997070312,86.0,167.37112426757812,86.0,176.4694061279297,503.1741027832031,56.78913879394531,81.35289001464844,18.99791717529297
2014-05-13,218.2188720703125,288.6064758300781,86.0999984741211,187.3585968017578,86.0999984741211,179.28741455078125,511.30474853515625,64.2208023071289,81.25080871582031,16.80139923095703
2014-05-20,236.42030334472656,313.2830810546875,84.94999694824219,164.32542419433594,84.94999694824219,179.00933837890625,520.33935546875,66.6980209350586,81.79520416259766,16.14630699157715
2014-05-27,236.16200256347656,320.24822998046875,81.25,190.26153564453125,81.25,195.29640197753906,523.6878051757812,74.31665802001953,82.59477996826172,16.107769012451172
2014-06-03,278.2479248046875,334.9248352050781,87.05000305175781,211.62905883789062,87.05000305175781,209.3216094970703,534.7380981445312,78.85042572021484,91.88351440429688,18.342819213867188
2014-06-10,269.723388671875,324.0790710449219,85.0999984741211,216.81626892089844,85.0999984741211,215.24505615234375,521.3678588867188,75.90580749511719,91.30509185791016,18.612565994262695
2014-06-17,264.67633056640625,330.5964660644531,82.69999694824219,214.3892364501953,82.69999694824219,207.75502014160156,506.89739990234375,72.82096099853516,93.43162536621094,17.95746612548828
2014-06-24,286.1365051269531,325.3725891113281,91.0,208.01229858398438,91.0,217.14532470703125,482.18988037109375,75.43841552734375,100.21954345703125,18.419889450073242
2014-07-01,270.4388427734375,308.3576965332031,117.3499984741211,189.5476837158203,117.3499984741211,222.225830078125,476.04296875,69.12850189208984,102.49918365478516,17.302364349365234
2014-07-08,253.111572265625,284.7756652832031,101.0999984741211,192.21267700195312,101.0999984741211,228.49278259277344,465.0644836425781,65.4827880859375,99.1647720336914,16.917007446289062
2014-07-15,264.3583068847656,295.6499938964844,106.0999984741211,193.92587280273438,106.0999984741211,236.66793823242188,493.0965881347656,73.00792694091797,99.28386688232422,18.150142669677734
2014-07-22,273.8168029785156,282.0,106.8499984741211,179.79190063476562,106.8499984741211,226.81846618652344,480.8983154296875,66.32410430908203,102.07884979248047,17.340900421142578
2014-07-29,274.8102722167969,281.5,111.0,187.88209533691406,111.0,223.7317657470703,470.5177917480469,70.76390838623047,105.28437042236328,17.364425659179688
2014-08-05,278.08892822265625,277.75,90.30000305175781,196.9716033935547,90.30000305175781,220.84146118164062,470.9483642578125,62.827762603759766,102.83309936523438,17.325138092041016
