Date,ASTRAL.BO,JINDALSTEL.BO,JUBLINDS.BO,VOLTAS.BO,JUBLINDS.BO,HAVELLS.BO,RELIANCE.BO,BOMDYEING.BO,BERGEPAINT.BO,MANAPPURAM.BO
2014-02-13,155.5668487548828,232.4871826171875,50.54999923706055,112.50080871582031,50.54999923706055,141.4862823486328,382.802978515625,49.59116744995117,70.0396957397461,16.55596160888672
2014-02-14,155.32839965820312,234.2284698486328,52.04999923706055,113.16705322265625,52.04999923706055,141.9655303955078,389.46392822265625,47.768310546875,71.28160095214844,17.085140228271484
2014-02-17,150.89730834960938,234.9250030517578,52.400001525878906,115.54652404785156,52.400001525878906,140.6936798095703,384.6993408203125,48.04875564575195,70.27787780761719,17.80332374572754
2014-02-18,155.80535888671875,251.19361877441406,49.900001525878906,116.49829864501953,49.900001525878906,139.50479125976562,385.315673828125,48.70310974121094,70.29487609863281,17.41796875
2014-02-19,156.14309692382812,244.17869567871094,49.29999923706055,116.64106750488281,49.29999923706055,141.1360321044922,385.2208251953125,48.656368255615234,70.75420379638672,17.379436492919922
2014-02-20,154.77206420898438,241.69114685058594,52.20000076293945,114.45196533203125,52.20000076293945,141.8180389404297,381.8074035644531,48.09548568725586,69.73346710205078,17.148223876953125
2014-02-21,154.8316650390625,244.62646484375,50.5,117.73561096191406,50.5,141.84568786621094,384.62823486328125,48.329193115234375,72.5915298461914,16.839942932128906
2014-02-24,153.83811950683594,242.2881622314453,48.5,122.16141510009766,48.5,140.50010681152344,385.1497497558594,48.09548568725586,71.75794219970703,17.071155548095703
2014-02-25,155.20919799804688,240.59661865234375,48.150001525878906,121.78070068359375,48.150001525878906,143.33872985839844,384.2015686035156,47.908531188964844,71.31562805175781,17.5335750579834
2014-02-26,150.6389617919922,237.95980834960938,49.0,125.06433868408203,49.0,141.5231475830078,384.27264404296875,47.768310546875,71.45172119140625,17.610647201538086
2014-02-28,149.5460968017578,237.71104431152344,49.20000076293945,127.06310272216797,49.20000076293945,141.55999755859375,378.9154357910156,47.72157287597656,71.96208190917969,17.379436492919922
2014-03-03,150.0229949951172,241.0443878173828,48.650001525878906,128.5383758544922,48.650001525878906,140.79505920410156,380.93035888671875,45.43130111694336,70.14177703857422,17.225292205810547
2014-03-04,150.53961181640625,246.76576232910156,48.70000076293945,133.77317810058594,48.70000076293945,141.91943359375,386.19268798828125,46.59981155395508,71.07744598388672,17.340900421142578
2014-03-05,150.3408966064453,245.07423400878906,50.70000076293945,131.9647674560547,50.70000076293945,142.4263153076172,382.5422668457031,46.319366455078125,70.83927154541016,17.340900421142578
2014-03-06,152.44717407226562,251.34288024902344,48.5,138.24655151367188,48.5,147.83621215820312,389.7009582519531,49.26399230957031,71.09445190429688,17.379436492919922
2014-03-07,152.8048858642578,255.6214599609375,49.099998474121094,137.2947540283203,49.099998474121094,149.65176391601562,411.9831848144531,49.82487487792969,71.28160095214844,17.148223876953125
2014-03-10,157.9910888671875,260.44732666015625,49.599998474121094,136.62850952148438,49.599998474121094,154.3243865966797,419.9478759765625,49.637908935546875,71.96208190917969,17.687719345092773
2014-03-11,160.91207885742188,253.28317260742188,53.95000076293945,135.4864044189453,53.95000076293945,152.84979248046875,414.8039855957031,50.33900833129883,71.51976013183594,17.379436492919922
2014-03-12,161.7665252685547,257.3627624511719,50.099998474121094,134.15390014648438,50.099998474121094,156.41644287109375,413.00244140625,51.320552825927734,71.21354675292969,16.994089126586914
2014-03-13,161.82608032226562,249.45233154296875,51.75,131.34613037109375,51.75,155.70677185058594,416.7713928222656,50.10531234741211,71.14549255371094,17.186763763427734
2014-03-14,162.08444213867188,254.2781982421875,51.650001525878906,134.8677215576172,51.650001525878906,154.822021484375,420.0900573730469,48.84333038330078,71.196533203125,16.839942932128906
2014-03-18,162.1241455078125,259.402587890625,51.599998474121094,137.72308349609375,51.599998474121094,159.19049072265625,424.47540283203125,50.75967025756836,71.82597351074219,16.68579864501953
2014-03-19,177.66294860839844,263.2831726074219,52.099998474121094,142.006103515625,52.099998474121094,161.45230102539062,427.6991882324219,52.90971374511719,71.31562805175781,16.338985443115234
2014-03-20,185.2932586669922,258.4075622558594,49.75,141.95849609375,49.75,158.16152954101562,429.3821716308594,50.525970458984375,70.90731811523438,16.4545841217041
2014-03-21,187.061767578125,263.2333984375,49.95000076293945,144.62350463867188,49.95000076293945,159.9228057861328,419.92413330078125,51.320552825927734,71.79197692871094,16.18484115600586
2014-03-22,None,None,None,None,None,None,None,None,None,None
2014-03-24,191.45318603515625,263.4821472167969,51.45000076293945,145.38491821289062,51.45000076293945,165.70716857910156,428.8607177734375,50.525970458984375,72.54051208496094,16.4545841217041
2014-03-25,191.65182495117188,268.15875244140625,49.20000076293945,150.28660583496094,49.20000076293945,168.87742614746094,416.55810546875,49.170509338378906,75.63674926757812,16.724336624145508
2014-03-26,190.57884216308594,276.66619873046875,48.349998474121094,151.47633361816406,48.349998474121094,168.1636505126953,422.03387451171875,49.871612548828125,76.26620483398438,16.878480911254883
2014-03-27,190.4794921875,279.15374755859375,51.900001525878906,148.0499267578125,51.900001525878906,166.79171752929688,427.6991882324219,50.01183319091797,76.06204986572266,16.80139923095703
2014-03-28,188.134765625,278.5069885253906,51.0,153.522705078125,51.0,168.51588439941406,433.38824462890625,51.36729431152344,76.72553253173828,16.762866973876953
2014-03-31,184.89588928222656,290.3477783203125,50.150001525878906,153.18955993652344,50.150001525878906,172.4092254638672,440.6655578613281,51.69447708129883,78.10353088378906,16.60873031616211
2014-04-01,184.7965545654297,293.7806091308594,52.0,150.85769653320312,52.0,169.40579223632812,446.1886291503906,52.2553596496582,78.30767822265625,16.49312400817871
2014-04-02,185.5515899658203,288.6064758300781,54.0,155.23590087890625,54.0,167.060546875,453.67926025390625,56.78913879394531,77.42304992675781,16.878480911254883
2014-04-03,191.1153564453125,298.1587219238281,52.25,154.42686462402344,52.25,166.87515258789062,451.3088073730469,56.74239730834961,79.5495834350586,17.225292205810547
2014-04-04,196.61953735351562,298.00946044921875,55.0,152.9516143798828,55.0,165.51251220703125,447.6346130371094,59.406578063964844,79.09024810791016,16.647266387939453
2014-04-07,195.7650604248047,279.9995422363281,55.75,151.14321899414062,55.75,164.81727600097656,447.56353759765625,59.640281677246094,78.93714141845703,16.338985443115234
2014-04-09,197.8514862060547,283.6313781738281,60.849998474121094,155.5690155029297,60.849998474121094,167.23670959472656,455.64666748046875,60.57508087158203,79.22634887695312,16.60873031616211
2014-04-10,197.41436767578125,279.9995422363281,58.04999923706055,159.09060668945312,58.04999923706055,169.69317626953125,459.2972106933594,59.079402923583984,78.57987213134766,17.148223876953125
2014-04-11,194.35426330566406,278.65625,61.5,158.3767547607422,61.5,170.33277893066406,451.7355041503906,60.247886657714844,79.34542083740234,16.80139923095703
2014-04-15,193.99658203125,267.5119934082031,62.95000076293945,156.0448760986328,62.95000076293945,172.42774963378906,449.6732177734375,58.47178268432617,79.83879852294922,17.225292205810547
2014-04-16,190.3602752685547,267.9597473144531,60.099998474121094,149.66796875,60.099998474121094,171.74180603027344,446.1412353515625,59.82723617553711,81.01263427734375,17.263830184936523
2014-04-17,195.12921142578125,278.60650634765625,66.55000305175781,158.75746154785156,66.55000305175781,173.36402893066406,454.5326232910156,61.83706283569336,83.58148193359375,17.572113037109375
2014-04-21,194.31448364257812,280.4472961425781,79.8499984741211,163.7543487548828,79.8499984741211,171.27830505371094,454.8644714355469,63.19252014160156,82.66282653808594,17.649179458618164
2014-04-22,198.66619873046875,274.4273986816406,82.3499984741211,164.896484375,82.3499984741211,172.90054321289062,459.0838317871094,63.00556182861328,83.10516357421875,17.49504280090332
2014-04-23,214.7613525390625,272.6363830566406,85.0,161.75559997558594,85.0,170.1844940185547,458.37274169921875,61.74357604980469,83.34331512451172,17.263830184936523
2014-04-24,214.7613525390625,272.6363830566406,85.0,161.75559997558594,85.0,170.1844940185547,458.37274169921875,61.74357604980469,83.34331512451172,17.263830184936523
2014-04-25,215.9337158203125,274.0293884277344,86.44999694824219,159.89964294433594,86.44999694824219,170.5923309326172,449.1517028808594,59.3130989074707,83.36033630371094,17.186763763427734
2014-04-28,221.63661193847656,272.089111328125,85.5,156.37803649902344,85.5,176.58065795898438,448.1797790527344,57.77067947387695,82.57776641845703,17.340900421142578
