Date,ASTRAL.BO,JINDALSTEL.BO,JUBLINDS.BO,VOLTAS.BO,JUBLINDS.BO,HAVELLS.BO,RELIANCE.BO,BOMDYEING.BO,BERGEPAINT.BO,MANAPPURAM.BO
2013-12-31,134.38482666015625,249.0045623779297,52.29999923706055,100.98422241210938,52.29999923706055,143.19125366210938,393.8966369628906,52.44231033325195,69.44425964355469,14.855002403259277
2014-01-31,149.5460968017578,237.71104431152344,49.20000076293945,127.06310272216797,49.20000076293945,141.55999755859375,378.9154357910156,47.72157287597656,71.96208190917969,17.047344207763672
2014-02-28,184.89588928222656,290.3477783203125,50.150001525878906,153.18955993652344,50.150001525878906,171.41111755371094,440.6655578613281,51.69447708129883,78.10353088378906,16.60873031616211
2014-03-31,214.7613525390625,254.2284393310547,85.0,147.28848266601562,85.0,172.27015686035156,443.41522216796875,54.54561233520508,81.89727020263672,17.148223876953125
2014-04-30,233.39996337890625,296.5169372558594,81.6500015258789,177.69796752929688,81.6500015258789,179.41722106933594,504.9756164550781,67.6795654296875,84.12589263916016,15.992167472839355
2014-05-31,278.7446594238281,321.0940246582031,87.25,207.6791534423828,87.25,217.57177734375,485.3949279785156,73.70902252197266,98.48429870605469,18.111604690551758
2014-06-30,273.9956359863281,273.63140869140625,105.4000015258789,183.02796936035156,105.4000015258789,223.90013122558594,481.2331848144531,66.60454559326172,102.27802276611328,17.225292205810547
2014-07-31,321.90362548828125,233.25,87.4000015258789,232.5207061767578,87.4000015258789,265.36517333984375,478.00421142578125,64.71732330322266,117.8835220336914,20.38944435119629
2014-08-31,320.25860595703125,172.9499969482422,86.4000015258789,230.41673278808594,86.4000015258789,247.59310913085938,452.2204284667969,65.1897201538086,129.7798614501953,24.106916427612305
2014-09-30,282.5623474121094,161.1999969482422,82.0999984741211,239.56478881835938,82.0999984741211,265.92633056640625,477.9803161621094,63.063961029052734,136.10519409179688,25.703125
2014-10-31,346.3039245605469,140.85000610351562,76.94999694824219,257.8132629394531,76.94999694824219,298.0096435546875,473.9859313964844,65.23695373535156,134.6995391845703,30.082475662231445
2014-11-30,312.5967712402344,151.85000610351562,67.4000015258789,230.70262145996094,67.4000015258789,257.5547790527344,426.2931823730469,63.252906799316406,137.95645141601562,28.282161712646484
2014-12-31,304.6007385253906,158.75,75.0,256.2409362792969,75.0,242.5420684814453,437.8695373535156,76.71601104736328,157.189453125,26.4575138092041
2015-01-31,352.6558837890625,193.64999389648438,70.69999694824219,244.56764221191406,70.69999694824219,255.73080444335938,409.3113098144531,70.24427032470703,154.85816955566406,28.82126808166504
2015-02-28,352.53662109375,156.60000610351562,82.4000015258789,266.198974609375,82.4000015258789,285.42889404296875,394.5059814453125,60.371341705322266,143.56048583984375,27.18171501159668
2015-03-31,352.0194396972656,139.5500030517578,111.3499984741211,267.3424987792969,111.3499984741211,261.8575439453125,412.7555236816406,60.890960693359375,144.62619018554688,29.114269256591797
2015-04-30,305.5555419921875,119.4000015258789,154.1999969482422,317.2756652832031,154.1999969482422,257.9757385253906,419.5960693359375,63.48910903930664,145.4168701171875,26.55154037475586
2015-05-31,308.26068115234375,85.5999984741211,156.0,299.7895202636719,156.0,263.86859130859375,484.0939025878906,69.39398193359375,134.106689453125,23.938129425048828
2015-06-30,294.4567565917969,78.75,168.39999389648438,302.6483154296875,168.39999389648438,263.49609375,484.674560546875,82.47915649414062,149.85157775878906,23.043636322021484
2015-07-31,336.6242980957031,67.9000015258789,302.5,262.3282775878906,302.5,245.4413299560547,414.5850524902344,60.234893798828125,146.44094848632812,19.806461334228516
2015-08-31,335.51556396484375,60.599998474121094,276.0,257.48187255859375,276.0,238.4935302734375,416.37542724609375,60.425819396972656,151.13037109375,20.487966537475586
2015-09-30,331.0175476074219,80.05000305175781,228.8000030517578,271.6850891113281,228.8000030517578,239.3442840576172,458.6419677734375,63.05094909667969,152.9923553466797,21.07335662841797
2015-10-31,331.5350341796875,91.0999984741211,218.5,276.86737060546875,218.5,269.97125244140625,468.3921203613281,63.95780944824219,151.92343139648438,23.072063446044922
2015-11-30,349.25390625,96.0999984741211,230.3000030517578,310.6481018066406,230.3000030517578,288.0733337402344,489.97296142578125,61.38041687011719,184.99075317382812,26.1552734375
2015-12-31,335.0384521484375,64.25,177.3000030517578,274.7081298828125,177.3000030517578,279.9439392089844,500.8360290527344,50.92760467529297,183.47360229492188,25.357316970825195
2016-01-31,271.3675842285156,53.349998474121094,136.3000030517578,213.57655334472656,136.3000030517578,257.30450439453125,467.69049072265625,38.374691009521484,154.8543243408203,26.775907516479492
2016-02-29,334.0827941894531,60.04999923706055,152.0,265.78314208984375,152.0,307.7598571777344,505.77154541015625,45.39095687866211,169.0855712890625,31.440080642700195
2016-03-31,351.1034851074219,69.9000015258789,150.8000030517578,281.37786865234375,150.8000030517578,318.02642822265625,480.322021484375,46.91831588745117,178.73280334472656,36.437137603759766
2016-04-30,353.8526306152344,63.349998474121094,151.5,322.356201171875,151.5,348.11004638671875,468.7851257324219,41.76350402832031,195.7796630859375,48.91685104370117
2016-05-31,373.69488525390625,67.75,170.39999389648438,308.3448486328125,170.39999389648438,343.09613037109375,473.9180603027344,44.19771957397461,191.6995086669922,62.808494567871094
2016-06-30,404.41436767578125,83.5,163.64999389648438,335.647705078125,163.64999389648438,374.1716613769531,496.42974853515625,44.531829833984375,230.13619995117188,74.60504150390625
2016-07-31,378.5557861328125,85.44999694824219,216.6999969482422,374.8506164550781,216.6999969482422,402.77630615234375,517.2059936523438,42.88698959350586,253.18373107910156,77.79328155517578
